Zip_Code,Mean,Median
36617,23955,20077
36613,24218,16243
36571,43803,300000
36560,48595,41530
36587,58182,48215
36303,75861,55836
36575,66912,55680
36695,98744,92467
36541,35313,25328
36544,51099,39571
36619,48721,46383
36605,63538,49255
36605,33457,21104
36509,0,0
36461,65025,48748
36480,33553,22348
36303,41374,27130
36107,32307,33114
36109,52473,51602
36108,14023,11494
36106,51585,39275
36109,47899,300000
36111,43562,31912
36105,33530,29294
36108,24669,22640
36109,102838,96944
36108,48406,31702
35766,45068,36873
36116,49593,54777
36110,69004,300000
36109,38679,28065
36117,135664,125792
36117,96002,300000
36064,99568,99257
36116,87238,300000
36117,86272,73460
36043,48871,21249
36108,55287,36619
35217,31849,23740
35601,65126,49578
35601,44728,30715
35603,50662,41789
35601,45554,31079
35640,78301,57511
35670,45167,41084
35621,48190,36191
36756,47317,300000
35466,52298,29581
35447,26820,15337
35206,31502,23017
36081,55440,39745
36081,38677,30309
36278,44124,40935
36274,56777,49691
36867,26882,23200
36870,47470,34531
36868,30365,24661
36868,33523,22642
35004,63023,300000
35128,65548,54496
35204,24534,15353
35953,55128,44569
35120,63437,61358
35242,60199,52591
35242,133935,123216
35242,114188,300000
35124,61447,300000
35007,47515,38790
35242,124681,111108
35114,64499,61078
35115,67471,61618
35208,27306,20635
35007,81035,300000
35007,114805,110344
35186,67015,54838
35477,30720,23681
36203,74941,59257
35160,45623,48211
35160,30518,300000
35044,20842,13928
35150,56039,300000
35150,42395,38497
35204,20724,13490
35010,40286,31306
36853,57732,53384
36853,74831,65949
35406,126456,300000
35475,77645,75235
35446,51913,45486
35406,125421,107411
35444,54986,43725
35453,58765,51483
35453,48158,39959
35235,53410,44414
35405,31061,24484
35401,28049,25211
35404,68542,47824
35405,29516,30584
35404,44856,36678
35503,69796,54429
35504,48437,35721
35578,32015,21826
35579,49334,32579
35550,51500,46017
35020,35707,24378
35584,45265,31524
36548,45381,28999
36726,28710,18681
36768,31636,23205
36048,36939,27636
35553,39763,36936
35565,36736,20436
35209,82907,64476
35094,42947,32289
35220,72958,66976
35071,64478,53139
35073,52012,42042
35210,62219,44282
35243,140732,133231
35228,30586,27480
35022,96563,91182
35226,118301,110028
35034,50506,41379
35630,40060,28315
35634,59353,47811
35673,50843,34892
36830,40521,24321
36025,75875,61166
36801,30665,22207
36804,55067,39086
35611,42963,35092
36040,26622,17354
36083,36412,28544
35810,42294,33121
35133,54667,46471
35816,36376,25216
35801,79587,66704
35802,94067,80758
35811,77787,69213
35806,116068,109549
35758,97765,93741
36736,45191,33640
35594,56133,38275
35976,43988,29075
36603,22203,15085
36033,52208,42042
36603,55238,42454
36605,46324,36369
36607,28217,20142
36608,101118,73032
36608,0,0
36693,71008,62620
36611,26337,20116
36575,48430,44787
36695,75214,56706
36619,43982,32163
36207,59980,40580
36610,25820,19718
36480,44326,26777
36108,31018,14709
36111,54451,38772
36108,33100,19480
36117,46649,34723
36109,30257,24891
36069,46816,32820
35601,23165,14550
35603,74890,63155
36265,54250,43854
35621,54365,47202
35442,34635,23175
36280,47083,41874
36869,39045,30117
99554,40008,33347
99744,93374,300000
99723,94285,78124
99727,63175,59795
99563,51011,41718
99557,48313,44853
99573,57085,38571
99576,79728,62878
99702,68267,56650
99583,71796,300000
99603,76885,59124
99709,97802,300000
99743,95667,91135
99745,47031,33763
99747,62545,45810
99749,58463,41209
99615,74363,60544
99621,55482,44147
99901,0,0
99630,43471,24491
99827,101864,300000
99720,33847,27223
99761,65682,51784
99666,58004,300000
99833,79191,66964
99501,77110,84804
99950,39794,26943
99591,67102,300000
99770,55786,43243
99840,81352,69886
99774,20652,17126
99777,51237,45813
99588,0,0
99684,73951,64415
99737,242857,300000
99901,97685,86630
99579,62733,50708
99687,84692,82973
99654,95014,86266
99749,58546,45462
99780,54967,45144
99675,53751,40060
99508,64869,53765
99567,133300,300000
99577,109312,105321
99501,46024,40752
99504,62940,54003
99504,77951,300000
99508,77947,300000
99501,62693,31880
99517,128395,300000
99508,117755,300000
99508,83006,73337
99508,92042,84964
99504,97885,300000
99507,89946,83403
99503,71733,59794
99517,58345,300000
99502,115266,115283
99502,95568,79940
99518,86400,84689
99507,81726,65511
99515,92426,300000
99507,82394,300000
99517,70573,58231
99516,144635,138010
99587,94928,300000
99559,90822,72540
99576,92923,72645
99701,69802,45653
99709,61158,300000
99701,96348,66143
99709,84823,300000
99705,98668,82163
99701,72074,70536
99507,97038,94845
99829,65020,54682
99801,92293,78817
99801,81155,67934
99631,89805,75180
99611,66103,60259
99556,56071,42495
99603,82980,71183
99901,75033,64332
99624,84545,80106
99658,49429,40341
99516,159063,300000
99645,89437,79780
99687,81463,78817
99645,78371,78819
99654,93393,77579
99645,96211,83667
99762,96042,86030
99749,57070,42202
99833,77876,66727
99926,69964,48663
99835,80041,59519
99701,57814,41445
99573,50328,32182
99677,98618,87924
99746,40950,29945
99577,100792,97257
99701,99901,300000
99829,67572,54083
99672,81749,70749
85634,58579,11622
85131,51765,43020
86432,56286,45147
85605,35045,32050
86045,41489,34601
85739,61934,50113
86503,27046,16974
86401,104815,300000
85501,112500,300000
85501,172052,226983
85364,41087,39081
85501,98549,300000
86042,39442,24081
86001,122937,112343
85295,94418,84020
86441,0,0
85292,39634,38040
86025,34976,29443
86033,40895,30296
86039,38972,33678
86432,74202,300000
85634,25541,21778
86441,30685,23431
86440,49684,66140
85282,41648,27728
85541,53625,300000
85547,52431,43324
85543,55575,46917
85608,23530,16730
85350,25662,23397
85553,39704,300000
85614,77054,68043
85631,51403,43469
86043,38280,31960
85635,69646,58812
85925,45103,30067
85374,55736,44609
85347,48130,32498
86047,30660,21095
85273,72207,75337
86040,54968,37010
86326,56440,45415
85356,38080,300000
85321,56385,28392
86440,39957,32358
85362,36012,27616
85298,119002,115886
85242,130704,120267
85268,50747,44904
85540,76501,71850
86441,29436,20190
86442,40865,34773
86439,55714,41559
86406,60355,47061
86510,30932,17769
86054,40332,26019
85929,66618,59716
85901,46321,33531
85701,50620,39574
85716,42399,28401
85334,0,0
85713,36960,32166
85716,29100,24333
85716,31743,23085
85711,41993,35025
85706,42669,33686
85715,65342,52748
85748,83575,73008
85710,111983,96439
85641,85403,74637
85641,71769,61033
85373,52042,44224
85622,81394,74925
85614,42482,32855
85629,85037,74059
85745,78314,73148
85743,69154,68188
85705,31177,19089
85704,61881,56317
85936,47256,37626
85704,88549,69164
85755,117775,108682
85718,103565,78185
85387,77691,63984
85750,102169,78342
85701,38145,34199
85132,61313,54360
85220,38860,32748
85623,80766,72414
85222,55664,48531
85222,70255,60392
85204,79505,68778
85241,54716,46878
85621,59894,51629
85322,84867,73437
86305,65618,44963
86312,42560,35026
86321,86089,76057
86351,75600,64754
85364,36499,27053
85364,55147,40948
85366,50898,38166
85364,64052,51614
85349,39969,28252
85333,0,0
85335,61099,53380
86504,32392,19821
86503,46921,42521
86505,26791,15983
86504,47873,51174
85925,53868,41484
85605,44590,34075
85602,48145,43357
85627,54157,44767
85712,23169,16703
85607,32972,27002
85340,74173,57086
85615,49029,36335
85670,0,0
85635,53945,43561
85635,63928,52430
85650,134124,300000
85615,59741,51034
86004,92626,83296
86004,142894,300000
86040,85839,69709
86001,29332,18557
85338,57663,50646
86047,74749,300000
86040,59056,43430
86001,64934,54176
86053,68234,50891
86045,49567,31114
85544,64766,63662
85541,43664,47662
85539,45393,38206
85501,70289,300000
85550,51691,39374
85379,86779,73302
85552,64852,300000
85546,52828,43128
85009,68506,51503
85552,33315,26187
85334,38049,31113
85344,27839,21700
85327,76076,49697
85378,47361,37501
85374,66648,59411
85342,67211,56588
85379,89512,74885
85387,55960,41234
85388,100613,300000
85374,61390,300000
85374,51719,45707
85322,78570,300000
85326,64123,300000
85326,69209,300000
85378,35059,24258
85335,62587,300000
85018,70546,59022
85382,45443,37353
85340,75997,300000
85340,74862,60510
85338,57318,300000
85308,68634,59202
85374,52098,41769
85379,68223,59930
85374,74805,74639
85379,94206,105508
85335,53722,48785
85031,34126,23244
85381,41322,33544
85323,36663,44190
85363,46831,36258
85382,49033,42535
85306,78406,63072
85382,97948,90254
85335,41673,36883
60048,49075,36002
85345,62982,300000
60048,45412,36111
85345,59615,48725
85345,50209,40616
85037,58722,54288
85037,47200,35112
85323,78317,80080
85286,69214,68132
85353,62737,63854
85323,45979,36137
85302,57211,55106
85627,59980,53165
85302,43142,33063
85302,42951,34439
85301,31282,24904
85037,41141,32904
85345,48369,45424
85303,30984,22629
85307,57968,54131
85345,52266,39258
85301,32028,22837
85301,42559,300000
85301,47013,48065
85032,103743,86769
85032,48340,42836
85254,100189,92369
85323,62606,56445
85032,127872,104833
85032,53206,49119
85032,32557,28198
85032,68279,55641
85023,84906,91251
85204,51012,44160
85023,112139,100267
85020,76235,63024
85029,34711,24672
85029,43236,44712
85305,47875,38458
85051,59141,300000
85306,89451,85691
85306,73962,68207
85304,75091,49478
85304,103502,300000
85029,62283,53229
85020,28514,24354
85020,30638,25986
85028,36247,25656
85253,158195,174901
85302,28790,27582
85018,156210,300000
85020,64385,43368
85051,65738,35636
85051,68470,69627
85021,75338,300000
85016,99390,79042
85015,37367,19895
85015,31947,27336
85019,32987,23394
85015,28292,16891
85303,59661,56745
85012,78584,59991
85016,34781,25634
85018,55964,44498
85016,100728,86129
85014,55315,52319
85013,38576,25061
85015,24966,18923
85031,48146,36863
85033,53956,48164
85033,41922,45341
85345,60357,48998
85033,51831,45041
85033,40947,38658
85009,23386,15438
85012,42813,33403
85016,45718,32732
85018,78664,60388
85008,57823,40924
85008,50241,45303
85006,29408,25411
85002,84105,43191
85301,39771,36895
85009,44890,52465
85035,24834,21181
85035,43295,33704
85035,31140,26803
85043,40916,26685
85009,19270,15281
85007,24292,13722
86504,44216,33763
85006,35967,25157
85008,37136,37586
85034,0,0
85032,108707,98161
85007,25534,12073
85031,29616,21171
85041,35368,28554
85040,37930,31929
85042,53412,54722
85042,42456,36421
85041,66692,56266
85041,55383,53147
85041,73010,300000
85042,68700,60652
85032,32221,26550
85044,52684,42379
85048,87130,300000
85044,48421,46637
85048,111515,116407
85048,162988,300000
85007,24327,15458
85009,33073,19580
85258,57926,46086
85268,62943,48113
85268,135062,126226
85023,97055,86016
85266,135404,300000
85258,99025,72753
85259,53478,38852
85032,122412,105159
85018,83666,59399
85259,175150,300000
85255,144695,140525
85615,48342,34727
85250,81232,67092
85250,88864,300000
85251,62030,52713
85029,64354,60314
85257,112364,94834
85257,54953,47784
85257,77880,72159
85271,53752,39205
85257,77570,76378
85281,49214,30511
85281,27059,20528
85281,38782,27170
85282,64293,64567
85285,74365,62418
85306,66559,55536
85283,67101,58579
85283,69602,63973
85283,88421,65315
85283,45168,42456
85283,45627,42994
85207,125247,300000
85207,85162,77418
85207,42594,34336
85205,73432,50801
85215,99691,300000
85029,41582,32262
85206,52597,34673
85201,34286,28737
85203,64256,53389
85213,110519,103507
85204,41775,32826
85203,44859,38477
85201,44275,41195
85201,56661,40216
85201,39844,35846
85203,47381,37534
85028,81409,67221
85204,29732,22241
85204,43941,43588
85202,33140,23772
85210,32126,26913
85202,80563,72386
85224,83442,74528
85210,84422,300000
85202,67881,57898
85204,45774,43963
85233,41678,41689
85754,41514,28215
85234,70852,51976
85204,68804,300000
85204,100489,89197
85234,111392,103284
85296,101890,84302
85236,115491,300000
85208,100687,88002
85234,101536,92331
85205,51483,41225
85208,53799,50175
85021,36117,27153
85209,42627,39086
85206,38380,38074
85209,93034,300000
85212,42944,33147
85224,58576,35059
85224,84613,77331
85224,76288,62735
85086,123366,300000
